id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22025286	1	0	저는 평소에 홈쇼핑 채널을 즐겨보는데요. 오늘 홈쇼핑에서 마음에 드는 옷을 구입했어요. 얼른 입어보고 싶은 마음에 기대감도 크고 마음에 드는 옷을 사게 되서 기쁘네요.	N	2022-10-07 16:24:10	2022-11-08 15:05:20
BE22025286	2	1	저도 홈쇼핑 보는게 재밌고 즐겁더라고요. 쉬는 날 텔레비전을 통해 보면 시간 때우기도 좋고요. 때로는 스트레스가 풀리기도 해서 그 기분 잘 알아요.	N	2022-10-07 16:24:10	2022-11-08 15:05:20
BE22025286	3	0	더 기쁜 것은, 아주 저렴한 가격에 세일하는 데 구입한 거예요. 티셔츠 한 장 가격에 두 장을 구입했어요. 엄마랑 같이 홈쇼핑을 보던 중이라, 엄마 하나, 저 하나 입기로 해서 참 뿌듯하네요.	N	2022-10-07 16:24:10	2022-11-08 15:05:20
BE22025286	4	1	저도 가끔 할인가에 제품을 구입하면 기분이 참 좋더라고요. 이득을 본 기분이라 기쁘고요. 감정화자님이 얼마나 기분 좋으신지 충분히 이해가 돼요.	N	2022-10-07 16:24:10	2022-11-08 15:05:20
BE22025286	5	0	그런데 한편으로는 홈쇼핑 채널을 자주 보다 보니, 너무 소비를 많이 하는 게 아닌가 싶기도 해요. 때로는 충동 구매를 할 때도 있거든요. 가끔은 구매하고 후회하기도 하고 자책할 때도 있어서 좀 걱정되기도 해요.	N	2022-10-07 16:24:10	2022-11-08 15:05:20
BE22025286	6	1	그렇지만, 오늘 구입하신건 어머니와 함께 입을 티셔츠 잖아요. 이왕 구입한거, 오늘은 기쁜 마음으로 받아들여보는건 어떨까 싶어요. 충동 구매는 차차 줄여 나가면 되니까 걱정 하시기보다는 긍정적으로 받아들여도 좋을것 같아요.	N	2022-10-07 16:24:10	2022-10-07 16:24:10
BE22025286	7	0	그 말도 일리가 있네요. 때로 걱정은 하지만, 오늘 구입 한 옷은 후회도 없고 뿌듯한 마음이 더 크긴 해요. 좋은 조언 감사해요.	N	2022-10-07 16:24:10	2022-10-07 16:24:10
BE22025286	8	1	감정화자님이 기분 좋아하시고 기뻐하시는 모습을 보니 저도 기분이 좋네요. 홈쇼핑을 즐겨보신다면, 다음에 더 깊은 대화 나누면 좋겠어요. 저도 홈쇼핑 보는걸 참 좋아하니까요.	N	2022-10-07 16:24:10	2022-11-08 15:05:20
BE22025286	9	0	같은 취미를 갖고 있어서 더 동질감이 느껴져서 더 기쁘네요. 홈쇼핑 즐겨보는 사람들이 생각 보다 제 주변에는 많이 없었거든요. 듣던 중 반가운 이야기에요.	N	2022-10-07 16:24:10	2022-10-07 16:24:10
BE22025286	10	1	저도 오늘 감정화자님 이야기를 듣고 같은 마음이었어요. 저도 저 외에는 별로 없어서요. 앞으로 회사에서 취미를 공유할 사람이 생겨서 좋아요.	N	2022-10-07 16:24:10	2022-11-08 15:05:20
BE22025286	11	0	그럼 다음에 회사에서 볼 때, 어떤 종류의 홈쇼핑을 좋아하는지 얘기하고 싶네요. 그리고 또, 좋아하는 쇼 호스트가 또 있으신지도 이야기 해보고 싶어요.	N	2022-10-07 16:24:10	2022-11-08 15:05:20
BE22025286	12	1	얘기만 들어도 재밌고 즐거울것 같은걸요. 그럼 우리 만나면 더 많은 이야기 나눠요.	N	2022-10-07 16:24:10	2022-11-08 15:05:20
BE22025286	13	0	네 오늘도 이야기 들어주셔서 정말 고마워요 공감화자님. 항상 저를 편안하게 해주시는 건 이 회사에서 공감화자님 뿐이에요. 그럼 오늘도 좋은 하루 보내세요.	N	2022-10-07 16:24:10	2022-11-08 15:05:20
BE22025286	14	1	저도 감정화자님이 좋고 친구같이 편하게 느끼는걸요. 오늘 하루 파이팅 하시기 바라며 멋진 하루 되시길 바라요.	Y	2022-10-07 16:24:10	2022-11-08 15:05:20
