id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22031647	1	0	대리님, 갑자기 전화 세 대가 동시에 울려서 너무 당황스러워요. 어느 자리부터 받아야 할지 모르겠어요.	N	2022-10-18 13:31:11	2022-10-18 13:31:11
BE22031647	2	1	하필이면 혼자 사무실을 지키는 날 연락이 쇄도하네요. 혼란스러운 마음도 이해돼요.	N	2022-10-18 13:31:11	2022-11-08 15:43:47
BE22031647	3	0	급박한 상황인데도 어쩔 줄 몰라 대리님께 연락을 드리고 말았어요. 일단 부장님 자리부터 받아야 할까요?	N	2022-10-18 13:31:11	2022-10-18 13:31:11
BE22031647	4	1	일단 감정화자씨 마음부터 진정하는 게 좋겠어요. 전화가 끊겨도 괜찮아요. 급한 전화라면 다시 연락이 올 테고 천천히 회신하면 돼요.	N	2022-10-18 13:31:11	2022-11-08 15:43:47
BE22031647	5	0	저도 그렇다는 걸 머리로는 알지만, 막상 상황이 닥치니까 안절부절못하게 되네요. 일하면서 이런 일은 처음인 것 같아요.	N	2022-10-18 13:31:11	2022-11-08 15:43:47
BE22031647	6	1	더구나 입사한 지 며칠 안 되셨잖아요. 이런 상황에 의연할 수 있는 신입도 없을 거예요. 신고식을 톡톡히 치른다고 생각해요.	N	2022-10-18 13:31:11	2022-11-08 15:43:47
BE22031647	7	0	정말 머릿속이 새하얗게 질렸어요. 혹시나 실수할까 봐 섣불리 움직이지 못하겠어요.	N	2022-10-18 13:31:11	2022-10-18 13:31:11
BE22031647	8	1	혼자 사무실을 지키고 있는데 이런 상황이 생겨 괜한 부담도 들 거예요. 실수한다고 감정화자씨를 탓하지 않아요. 신입이니만큼 모두가 이해하고 있고, 이러면서 성장하는 거라고 믿으니까요.	N	2022-10-18 13:31:11	2022-11-08 15:43:47
BE22031647	9	0	하지만 전화 하나로 이렇게 혼란스럽게 되니까 저 자신을 믿지 못하겠어요. 이렇게까지 떨고 있는 제가 당혹스러울 정도니까요.	N	2022-10-18 13:31:11	2022-11-08 15:43:47
BE22031647	10	1	그럴 수밖에 없는 상황이니 자신에게 화살을 돌리지는 말아요. 선배인 저도 똑같은 상황에서 당황했을 테니까요. 잘 해결할 수 있다고 마음을 다잡으면 머릿속이 차분해질 거 같아요.	N	2022-10-18 13:31:11	2022-11-08 15:43:47
BE22031647	11	0	대리님이었어도 그랬을 거란 말을 들으니까 마음이 놓이네요. 조급한 마음에 연락을 드리고 말았어요. 진정부터 하고 차근차근 해결해 볼게요.	N	2022-10-18 13:31:11	2022-10-18 13:31:11
BE22031647	12	1	이런 시련도 찾아와야 크게 성장할 수 있는 것 같아요. 경험이라고 생각하고 용기 있게 부딪혀 봐요.	N	2022-10-18 13:31:11	2022-11-08 15:43:47
BE22031647	13	0	그렇게 조언해 주셔서 감사해요. 이 일이 잘 마무리된다면 바랄 게 없겠네요. 긍정적으로 생각하고 최대한 노력할게요.	N	2022-10-18 13:31:11	2022-10-18 13:31:11
BE22031647	14	1	조금 진정이 된 것 같아 저도 마음이 놓이네요. 계속 응원하고 있을게요. 혹시라도 문제가 생기면 제게 연락하시고요.	N	2022-10-18 13:31:11	2022-11-08 15:43:47
BE22031647	15	0	존재만으로도 든든한 대리님, 너무 감사해요. 이제 저는 업무를 처리하러 떠나볼게요. 다시 연락드리겠습니다!	Y	2022-10-18 13:31:11	2022-11-08 15:43:47
