id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22031477	1	0	저 운전 면허 시험장을 잘못 찾아온 것 같아요. 너무 당황스러운데 어쩌죠.	N	2022-10-18 11:12:31	2022-10-18 11:12:31
BE22031477	2	1	오늘 시험이 있다고 하셔서 저도 내내 마음이 쓰이던 차였어요. 시험장을 착각하신 거예요?	N	2022-10-18 11:12:31	2022-11-08 15:42:45
BE22031477	3	0	제가 뒷글자를 잘못 보고 다른 지역 시험장으로 온 것 같아요. 시간이 얼마 남지 않았는데 마음이 너무 급하네요.	N	2022-10-18 11:12:31	2022-10-18 11:12:31
BE22031477	4	1	일단 진정하시는 게 좋겠어요. 끝날 때까지 끝난 게 아니니까 낙담하지 마시고요.	N	2022-10-18 11:12:31	2022-11-08 15:42:45
BE22031477	5	0	그리 멀지 않은 거리인 게 다행이긴 한데 머릿속이 새하얘져서 어쩔 줄을 모르겠네요. 저 스스로가 너무 한심하게 느껴져요.	N	2022-10-18 11:12:31	2022-10-18 11:12:31
BE22031477	6	1	말씀처럼 가까운 곳에 있다는 게 천만다행이잖아요. 당장은 당황한 마음이 커서 행동하기 어려울 거란 것도 알아요. 하지만 힘닿는 데까지 움직여 보고 판단해도 늦지 않을 거예요.	N	2022-10-18 11:12:31	2022-11-08 15:42:45
BE22031477	7	0	일단 콜택시를 불렀어요. 시간 안에 도착해야 할 텐데 이미 마음이 혼란스러워져서 시험을 잘 칠 수 있을까 모르겠네요.	N	2022-10-18 11:12:31	2022-10-18 11:12:31
BE22031477	8	1	이런 실수를 하는 사람이 감정화자씨 혼자만은 아닐 거예요. 아직 바로잡을 수 있는 여지가 있잖아요. 그렇게 생각하면 기운이 좀 날 거예요.	N	2022-10-18 11:12:31	2022-11-08 15:42:45
BE22031477	9	0	이런 실수를 하리라곤 생각도 못 해서 더 당혹스러운 것 같아요. 공부만 열심히 준비하고 시험장을 착각하다뇨.	N	2022-10-18 11:12:31	2022-11-08 15:42:45
BE22031477	10	1	원래 한 가지에 너무 몰두하면 가벼운 일도 놓칠 수가 있죠. 누구나 겪을 수 있는 일이에요. 그러니 너무 자책하지 마세요.	N	2022-10-18 11:12:31	2022-11-08 15:42:45
BE22031477	11	0	공감화자씨 말처럼 제가 시험 준비에만 너무 몰두했던 것 같아요. 저 혼자만 겪는 일이 아니라고 생각하니 그나마 위안이 되네요.	N	2022-10-18 11:12:31	2022-11-08 15:42:45
BE22031477	12	1	의외로 많은 사람들이 시험장을 착각한다고 들었어요. 이번으로 시험이 아예 없는 것도 아니잖아요. 마음의 여유를 되찾으면 의외로 일도 잘 풀릴지 몰라요.	N	2022-10-18 11:12:31	2022-11-08 15:42:45
BE22031477	13	0	맞아요, 제가 너무 오늘로 세상이 끝날 것처럼 굴었네요. 다음에 시험을 다시 치더라도 오늘 후회하지 않게 마음을 다잡고 얼른 움직여 볼게요.	N	2022-10-18 11:12:31	2022-10-18 11:12:31
BE22031477	14	1	이제야 제가 아는 감정화자씨 답네요. 분명 좋은 결과 있을 거라고 믿어요. 저도 응원의 힘을 보태고 있을게요.	N	2022-10-18 11:12:31	2022-11-08 15:42:45
BE22031477	15	0	그래도 공감화자씨랑 대화하면서 마음이 많이 진정됐어요. 얘기 들어주셔서 감사해요. 그럼 이따 다시 연락드릴게요!	Y	2022-10-18 11:12:31	2022-11-08 15:42:45
