id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22031027	1	0	여보, 또 부모님이 오빠와 나를 차별해. 너무 속상하고 상처 받아.	N	2022-10-17 21:38:08	2022-10-17 21:38:08
BE22031027	2	1	예전에도 몇 번 그러셨던 것 같은데, 이번에도 또 그러시는구나. 당신 정말 마음이 안 좋겠다. 이번엔 무슨 일이야?	N	2022-10-17 21:38:08	2022-11-08 15:40:00
BE22031027	3	0	이번에 부모님이 귀농하셔서 고구마랑 참깨 같은 작물들을 농사지으셨는데, 나한테는 아무것도 보내주시지 않으셨어. 오빠한테는 이것저것 다 챙겨주면서. 꼭 나는 내어놓은 자식인 것 같은 기분이 들어서 마음이 아파.	N	2022-10-17 21:38:08	2022-10-17 21:38:08
BE22031027	4	1	내가 당신이었어도 정말 상처받았을 것 같아. 그냥 먹거리 문제가 아니라 마음의 문제니까.	N	2022-10-17 21:38:08	2022-10-17 21:38:08
BE22031027	5	0	그래서 내가 전화를 드렸는데, 나온 게 별로 없어서 나한테까지는 못 주겠다는 거야. 그러면서 당신들 아들만 챙기는 건데, 이번에도 소외당하는 것 같아서 정말 서러워.	N	2022-10-17 21:38:08	2022-10-17 21:38:08
BE22031027	6	1	원래 가족은 콩 한 쪽도 나눠 먹는 사이라고 그랬는데, 장인 장모님이 너무 무심하시다. 얼마나 속상할까.	N	2022-10-17 21:38:08	2022-11-08 15:40:01
BE22031027	7	0	이번만 그러는 게 아냐. 어렸을 때부터 계속 그랬어, 오빠만 용돈 더 주고, 자취시켜주고, 선물도 더 좋은 것 해주고. 꼭 나는 열등한 딸이 된 것 같은 기분이 옛날부터 계속 들었어.	N	2022-10-17 21:38:08	2022-10-17 21:38:08
BE22031027	8	1	부모님이 당신을 덜 챙긴다고 해서 당신이 열등한 딸인 건 아니야. 오히려 부모님이 당신을 더 믿고 혼자서 잘 해나갈 거라고 생각하시는 거라고 생각해보면 어떨까?	N	2022-10-17 21:38:08	2022-10-17 21:38:08
BE22031027	9	0	그런 생각은 한 번도 해보지 않았는데, 어쩌면 그럴 수도 있겠다. 부모님에게 오빠가 아픈 손가락이기도 하고, 또 항상 나한테 듬직하고 잘 지내줘서 고맙다는 말을 하시니까. 그렇게 생각하니 마음이 조금은 편해져.	N	2022-10-17 21:38:08	2022-11-08 15:40:01
BE22031027	10	1	만약 나중에 우리에게 아이가 생긴다면, 어쩌면 나도 그럴 수 있을 것도 같아. 도움이 필요해 보이는 아이한텐 자꾸 손을 주고 싶은 것처럼 말야.	N	2022-10-17 21:38:08	2022-11-08 15:40:01
BE22031027	11	0	우리 아이들을 상상하고 대입하니까 정말 그럴 것 같기도 해. 그래도 여전히 부모님이 조금 밉긴 하지만, 이해는 된다. 조금은 덜 서러워.	N	2022-10-17 21:38:08	2022-10-17 21:38:08
BE22031027	12	1	게다가 당신이 내어놓은 자식이라니, 말도 안 돼. 가끔씩 장인 장모님께 전화드리면, 네 얘길 얼마나 하시는데. 내게 당신이 정말 고마운 딸이라고 매번 말씀하셔.	N	2022-10-17 21:38:08	2022-10-17 21:38:08
BE22031027	13	0	그런 말씀을 하시는 줄은 정말 몰랐는데, 감동이다. 덕분에 마음이 훨씬 나아졌어.	N	2022-10-17 21:38:08	2022-11-08 15:40:01
BE22031027	14	1	괜찮아졌다니 다행이야 여보. 마음이 풀렸다니 나도 정말 기뻐.	Y	2022-10-17 21:38:08	2022-11-08 15:40:01
