id	utterance_id	utterance_type	utterance_text	terminate	regDate	updDate
BE22010120	1	0	넌 요즘 화장품 어떤 제품으로 이용해?	N	2022-07-19 15:32:23	2022-11-08 13:29:33
BE22010120	2	1	나는, 민감성 피부를 위해 나온 제품들로 사용 중이야. 피부가 예민하거든.	N	2022-07-19 15:32:23	2022-11-08 13:29:33
BE22010120	3	0	그렇구나. 나 요즘 얼굴에 계속 기름기가 생겨서 화가 나. 내 피부는 왜 이런 걸까.	N	2022-07-19 15:32:23	2022-11-08 13:29:33
BE22010120	4	1	피부가 안 좋아지면 기분이 당연히 안 좋지. 나도 트러블 하나 나도 거울 보기가 싫더라.	N	2022-07-19 15:32:23	2022-11-08 13:29:34
BE22010120	5	0	맞아. 요즘 거울만 보면 못마땅해. 기분이 별로 좋지 않아. 어떡해야 할까?	N	2022-07-19 15:32:23	2022-11-08 13:29:34
BE22010120	6	1	네 기분이 그런 게 충분히 이해가 가. 누구이더라도 그럴 거야. 많이 성가 실 거 같아.	N	2022-07-19 15:32:23	2022-11-08 13:29:34
BE22010120	7	0	응. 나름대로 관리한다고 하는 데도 이렇네.	N	2022-07-19 15:32:23	2022-11-08 13:29:34
BE22010120	8	1	음식도 피부에 영향을 많이 끼친다고 하더라. 이 기회에 식단 관리를 해보는 건 어때? 건강 관리한다는 마음으로 가볍게 생각하면 기분도 괜찮아지고 피부도 좋아질 거 같은데.	N	2022-07-19 15:32:23	2022-11-08 13:29:34
BE22010120	9	0	아, 그럴까? 좋은 생각이네. 네 말대로 식단 조절하면서 건강도 챙기고 피부도 좋아지고 좋을 거 같아.	N	2022-07-19 15:32:23	2022-11-08 13:29:34
BE22010120	10	1	그래, 이왕 하는 거 일석이조의 효과를 보면 더 좋지. 피부에 너무 스트레스를 받으면 더 안 좋을 거야. 기분 좋게 습관을 바꿔보자.	N	2022-07-19 15:32:23	2022-11-08 13:29:34
BE22010120	11	0	응 맞아. 문제 해결도 중요하지만 내가 스트레스를 안 받는 게 제일 중요해.	N	2022-07-19 15:32:23	2022-11-08 13:29:34
BE22010120	12	1	좋아. 긍정적인 좋은 생각을 가지고 생활 습관만 조금 고치면 좋아질 거야. 넌 늘 긍정적이고 밝은 사람이잖아. 그러니 금방 피부도 개선될 거야.	N	2022-07-19 15:32:23	2022-11-08 13:29:34
BE22010120	13	0	고마워. 덕분에 용기가 생겼어. 얼굴에 기름기 정도야 금방 사라질 거 같아.	N	2022-07-19 15:32:23	2022-11-08 13:29:34
BE22010120	14	1	넌 멋져. 내가 지성 피부를 위한 화장품도 추천해줄게.	N	2022-07-19 15:32:23	2022-11-08 13:29:34
BE22010120	15	0	네가 내 마음도 몸도 금방 회복시켜주네. 늘 고마워.	Y	2022-07-19 15:32:23	2022-11-08 13:29:34
